title,publish_date,plays,completion_rate,comments,shares,favorites,likes
GitHub账单暴涨50倍！AI编程自助餐时代终结，Alphabet 847亿融资创纪录,2026-06-30,5,0.00%,0,0,0,0
Google限供！Meta算力被卡脖子，AI芯片虹吸效应席卷全球,2026-06-29,7,100.00%,0,0,0,0
石破天惊！中国超算时隔九年重夺全球第一，纯CPU方案打破GPU霸权,2026-06-28,7,50.00%,0,0,0,0
王炸三连！GPT-5.6被政府看管，IPO万亿估值梦碎，苹果全线涨价,2026-06-27,6,75.00%,0,0,0,0
硬核扎堆！OpenAI造芯片，美光营收暴涨346%,2026-06-26,6,66.66%,0,0,0,0
Google被掏空了！六天四位核心AI研究员集体出逃，Anthropic疯狂挖人,2026-06-25,3,33.33%,0,0,0,0
破防了！韩国股市暴跌10%触发熔断，AI泡沫第一块多米诺骨牌倒了？,2026-06-24,11,37.50%,0,0,0,0
五眼联盟罕见发警告！AI颠覆网络安全倒计时以月计，4300万美元砸进中期选举,2026-06-23,5,40.00%,0,0,0,0
特朗普改口！Fable 5回归在即，诺奖得主投奔Anthropic,2026-06-22,8,60.00%,0,0,0,0
暗度陈仓！GPT-5.6偷偷上线，Agentjacking席卷全球,2026-06-21,8,50.00%,0,0,0,0
马斯克要把数据中心送上太空！SpaceX轨道AI卫星正式公布，Google AI灵魂人物跳槽OpenAI,2026-06-20,4,50.00%,0,0,0,0
桑德斯突袭！AI公司一半股份归全民，每年发1000美元AI红利,2026-06-19,4,66.66%,0,0,0,0
变天了！G7峰会AI巨头定规则，OpenAI巨亏390亿曝光,2026-06-18,6,50.00%,0,0,0,0
变天了！G7峰会AI巨头定规则，OpenAI巨亏390亿曝光,2026-06-18,4,50.00%,0,0,0,0
王炸！DeepSeek 500亿融资落地，SpaceX三天超亚马逊,2026-06-17,7,50.00%,0,0,0,0
引爆AI圈！Fable 5上线3天遭政府封杀，SpaceX史上最大IPO马斯克成万亿富翁,2026-06-16,7,50.00%,0,0,0,0
Databricks峰会开幕，Fable 5越狱震动AI圈,2026-06-15,12,60.00%,0,0,0,0
Anthropic最强模型遭美政府全球下线,2026-06-14,6,50.00%,0,0,0,0
具身智能融资热潮，算力工厂争夺战,2026-06-13,12,27.27%,0,0,0,0
Claude Fable 5发布，谷歌月砸10亿美元租SpaceX算力,2026-06-13,7,33.33%,0,0,0,0
AI IPO大战，国产芯片训练万亿模型突破,2026-06-13,6,33.33%,0,0,0,0
SpaceX史上最大IPO，MANGOS取代FAANG,2026-06-13,7,20.00%,0,0,0,0
